Q2: Question,Q2: Réponse,Q3: Question,Q3: Réponse,Q3: Commentaire,Q4: Question,Q4: Réponse,Q4: Commentaire,Q5: Question,Q5: Réponse,Q5: Commentaire,Q6: Question,Q6: Réponse,Q6: Commentaire,Q7: Question,Q7: Réponse,Q7: Commentaire,Q8: Question,Q8: Réponse,Q8: Commentaire,Q9: Question,Q9: Réponse,Q9: Commentaire,Q10: Question,Q10: Réponse,Q10: Commentaire,Q11: Question,Q11: Réponse,Q12: Question,Q12: Réponse,Q13: Question,Q13: Réponse
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",5,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",5,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",5,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",5,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",5,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",5,Non renseigné,Formation & support,5,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,5,Non renseigné,Si vous aviez trois choses à améliorer ce serait,toto,Si vous deviez lister 3 points forts,toto,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,Non renseigné,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIL,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",3,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,3,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,Non renseigné,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,La cohésion d'équipe ,Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",5,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",5,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,Non renseigné,Formation & support,2,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,3,Non renseigné,Si vous aviez trois choses à améliorer ce serait,"Les modes opératoires sont incomplets et peu clairs. Nous devrions aussi développer sous linux depuis très longtemps. L'empilement de couches de sécurité devient pénible et semble peu maitrisée; par exemple dans analyser trivy pendant un temps remontait les cve présentes dans le scope test, des cve par conséquent absentes du livrable ! Des ajouts de micro-segmentation tous les deux jours annoncés sur des canaux tchap la veille au soir avec pour effet une rupture de service dès le lendemain matin. On passe plus de temps à bricoler des properties qu'à développer réellement. Enfin l'absence de note officielle rend peu claire les directives, on a juste un relai dans les canaux tchap mais on ne sait pas de qui ça émane et si l'injonction à un caractère impératif",Si vous deviez lister 3 points forts,"la mise en place des services par rundeck est très rapide
il y a toujours des gens éclairés pour aider
le matériel de développement fournit est assez performant ",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",4,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,2,Grosse inflation d'outils à connaître malgré des effectifs peu importants.,Si vous aviez trois choses à améliorer ce serait,"RECRUTER
Stabiliser moins d'outils
Limiter les prestas externes",Si vous deviez lister 3 points forts,"Solidarité - entraide
Grosse implication des agent·es",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Compas et Oscar ne constituent pas des outils pour le développement pour moi.,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,"L'offre de service et le support sont plutôt bons, mais nécessitent d'acquérir beaucoup de connaissances Ops pour un paramétrage fin. En sachant que ces connaissances ne seront pas mobilisées régulièrement pour un même dev ou une même équipe, il y a donc un coup d'entrée important, et une difficulté à maintenir ces connaissances.","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",4,"L'intégration facilitée de gitleaks et trivy aux pipelines est un bon point. Je suis mitigé pour checkmarx qui n'est pas très facile à utiliser, et pas toujours très pertinent.","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,"Donumentation très éparpillée et organisée différemment selon les équipes, quand on recherche quelque chose difficile de le trouver","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,"peu de redescente, ce sont les chefs qui sont informés des problèmes avant les équipes, ce qui est dommage","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",4,Non renseigné,Formation & support,4,"les offres de formation devraient être ouvertes aux autres SNDI (parfois il y a des formations intéressantes à Paris, qu'on n'a pas en local, mais dont on n'est pas au courant)",Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,"une documentation centralisée
une meilleure reconnaissance des tâches autres que le développement (ce n'est pas parce qu'il y a un job qui le fait que tout se passe bien et surtout rapidement) 
proposer des autoformations en ligne sur certains sujets (ou permettre d'avoir des comptes sur des plateformes type Udemy)",Si vous deviez lister 3 points forts,"équipes souvent réactives sur Tchap
nombreux outils mis à dispo

",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,"Les outils sont très bien dans l'ensemble: IDE : l'Insee devrait avoir le budget pour que tous les devs puissent avoir IntelliJ Ultimate, Gitlab: très bien , super outil, je le trouve indispensable, Podman: je connais pas, Sonar: c'est très bien mais il faut pas que ça devienne un jour bloquant, Sonar le plus c'est lorsqu'il analyse les merge requests là on a une vraie plus value pour nous les devs.
Compas: en tant que dev j'y vais très peu mais j'imagine que pour la hiérarchie c'est très bien, Oscar: j'y vais encore moins que sur Compas, CI/CD: ça serait bien éventuellement qu'on ait un support pour les CI/CD car sur des applications en maintenance on les modifie peu et donc on oublie comment ils marchent mais on arrive à peu près s'en sortir, au quotidien les ci/cd sont indispensables et super utiles, autre: agentsecret: personnellement je trouve qu'agent-secret c'est plutôt une mauvaise idée même si je comprends l'intérêt, car on installe agent-secret.jar puis on n'y touche plus c'est contraire à l'esprit de la sécurité, on se retrouve avec du code obsolète dans toutes nos applications en local.","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,"Alors concernant les VMs la documentation est bien, l'offre est très bien, la qualité du support aussi et heureusement que le support est là car je trouve que parfois on nous mets à disposition des batchs dans COMMUN ou dans le rundeck dc1 dont il est difficile pour un non ops de comprendre toutes les options de façon claire.","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",5,"Personnellement j'ai la chance d'avoir IntelliJ Ultimate et donc j'ai quasiment un checkmarks, analyzer intégré dans l'IDE pour les dev Java donc en fait je m'intéresse peu à ce que donnent ces outils, mais ils sont intéressants néanmoins et utiles parfois. Sur les PES je trouve qu'elles sont très bien. On essaie au maximum de suivre les montées de version au fil de l'eau comme préconisé mais alors du coup on est presque parfois il me semble en avance sur l'infra Insee: exemple: passage à Java 25: on a eu des messages dans les logs disant que Glowroot n'était pas compatible avec Java 25 (on a enlevé Glowroot qui ne nous sert pas et gardé Java 25) , Node JS: on est passé à node 24 (dernière version LTS) et cette fois-ci c'est renovate qui a du mal à nous fabriquer le bon package-lock.json (on arrive à vivre avec et on a signalé le problème à IDDA).","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",2,Glowroot: depuis qu'on est passé à Java 25 on avait trop de logs Glowroot qui saturaient notre log en production donc on l'a enlevé mais comme on ne s'en servait pas on ne le regrette pas. Pour les autres outils: aucun avis vu qu'on en s'en sert pas.,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",4,Non renseigné,Formation & support,4,Il manque peut-être un groupe support clairement identifié au sndip comme ça existe dans d'autres services de développement mais on se débrouille quand même sans ça.,Votre avis global sur votre expérience de développeur à l'Insee,4,"Quand on est affecté sur une application à jour, moderne, bien documentée, qui suit les montées de version au fil de l'eau, c'est très bien. Mais quand on est sur une application obsolète, qui n'a pas été mise à jour depuis 10 ans, sans documentation, alors le travail parfois n'est plus vraiment un travail de développeur c'est un mélange entre archéologue et programmeur, on peut éventuellement faire des prières pour que l'application ne se crashe pas tant qu'on en est le maintenicien officiel.",Si vous aviez trois choses à améliorer ce serait,"1. Prévoir des refontes, autant que possible, sur toutes les applications Java qui ne sont pas en Spring Boot.
",Si vous deviez lister 3 points forts,Le fait de mettre plusieurs développeurs sur une même application quitte à avoir parfois peut-être plusieurs applications par développeur.,Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",3,"sonar fait perdre du temps, et ca n'apporte rien","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,pas de doc pratique quand on doit utiliser un outil qu'on n'a pas l'habitude d'utiliser,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",1,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",2,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",4,On gagnerai à en faire encore plus,Formation & support,3,"Les formations sont M2i sont pas intéressantes d'un point de vue pratique car elles se concentre beaucoup sur la technique sans montrer les usages, les enjeux et les grands principes.",Votre avis global sur votre expérience de développeur à l'Insee,3,Non renseigné,Si vous aviez trois choses à améliorer ce serait,"1) L'alignement entre les enjeux métier et fonctionnel et les développements. Les bases de codes devraient mieux refléter les problèmes qu'ils résolvent. Sur certains legacy, il y a une dette technique mais surtout une dette fonctionnelle
2) La qualité du code et les enjeux d'architecture. Aujourd'hui, un code qui fonctionne n'est pas suffisant, il doit être maintenable donc facile à modifier et comprendre. Le domaine devrait aussi mieux être séparé des parties techniques.
3) L'introduction de l'IA dans le workflow de travail des développeurs",Si vous deviez lister 3 points forts,"1) L'excellence technique des dev
2) L'ouverture des dev en général
3) L'entre aide entre dev",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIN,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",2,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",1,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",2,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",2,Non renseigné,Formation & support,2,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,2,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,"Question intéressante, il aurait peut être fallu distinguer outils et services.
Outils : ensemble des outils mis à disposition pour le dev (IDE, GIT, JDK...) sur ce point, l'offre centralisée à travers siamoi me parait assez fournie. Il est très appréciable de trouver les principaux IDE comme éclipse, intelliJ, vscode....par contre l'offre Tomcat aurait dû se trouver dans  la section développement à mon sens non pas dans Outils Techniques (appellation trop vague).

Le principal irritant est la configuration de ces outils, le développeur ne sait pas forcement où trouver la documentation et quand la documentation est trouvée, elle n'est pas forcément à jour. 

Sur un nouveau poste par exemple : Configurer Maven, IntelliJ ou Eclipse, installer les certificats pour le JDK (en faisant attention parfois à certaines installation d'eclipses qui ont leur propre hotspot embarqué) , configurer le proxy etc... ça peut relever du parcours du combattant surtout pour les applications légacy qui semble t-il constitue environ 40% du parc applicatifs Insee.

Je pense que dans chaque domaine devrait avoir une sorte de KPi sur la facilité d'installation et de configuration d'une application par exemple. 
Il y a une application dont je tairai le nom, sinon mon anonymat serait rompu :) , l'installation relève de la tradition orale sinon il était impossible de la prendre en main. La documentation sur l'installation et configuration sont souvent obsolète et vraiment je pense qu'il y a un sujet à faire dessus. Avec le fonctionnement agile, j'ai aussi l'impression que les docs sont un peu passés aux oubliettes au profits d'interactions humaines de tradition plus ""oral"" et comme on dit, les paroles s'envolent et les écrits restent.

Services : ensemble des applications servant à des activités connexes de dev/devops (compas, oscar, analyzer...etc)
Analyzer est un bon outil pour suivre les CVE à l'échelle d'une application, c'est très appréciable pour faire de la veille de sécurité sur les librairies qu'on utilise.","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Je sais que l'offre existe quelque part mais je ne sais où exactement ce qui revient à dire que je ne sais pas comment exploiter cet outil pour installer une VM,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",4,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,4,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,"Juste une : 
1 - une amélioration continue de la documentation sur l'installation et la configuration des applications et des outils.

",Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur s'est dégradée
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,"On peut toujours faire mieux, mais c'est déjà bien. Poursuivre les documentation des jobs et outils pour que les devs puissent s'y retrouver","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",2,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,Non renseigné,Formation & support,4,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
Dans quel service développez-vous ?,SNDIL,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,Non renseigné,Formation & support,3,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
Dans quel service développez-vous ?,SNDIN,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,Non renseigné,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIN,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,Non renseigné,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,"Beaucoup d'outils sont disponibles, mais on a du mal à s'y retrouver, que ce soit dans la variété des outils proposés ou dans la documentation. Il est parfois difficile d'identifier l'outil répondant à notre besoin. Toutes les documentations ne sont pas organisées selon le même modèle, on a du mal à rechercher l'information. Il arrive de tomber sur une documentation déjà obsolète, sans que cela soit mentionné.","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,"Beaucoup d'outils sont proposés, mais il n'y a pas une bonne stabilité dans le temps. Des outils deviennent obsolètes et sont remplacés par d'autres, ce qui rend l'investissement coûteux. Pas mal de configuration parfois nécessaire pour obtenir un résultat signifiant. Pour certains outils, la configuration / paramétrage par défaut manque de stabilité, ce qui pose des problèmes du suivi de l'évolution.","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",4,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",4,Non renseigné,Formation & support,3,"Les formations proposées sont variées, mais le calendrier n'est pas toujours compatible avec les besoins et disponibilités. Il me semblent que les formations internes sont moins nombreuses qu'auparavant, or celles-ci étaient souvent plus proches de nos besoins. Les formations en distanciel sont généralement moins performantes, car elles altèrent la qualité des échanges avec le formateur et entre participants.",Votre avis global sur votre expérience de développeur à l'Insee,3,"Je perçois une dégradation par rapport quelques années en arrière. Multiplication des tâches, difficulté de se concentrer sur un problème lorsque celui-ci demande une certaine ""immersion"".",Si vous aviez trois choses à améliorer ce serait,La communication : trop de canaux à suivre.,Si vous deviez lister 3 points forts,"Bonne implication / réactivité des agents. Dans beaucoup de cas, on trouve un collègue pour nous apporter une réponse ou de l'aide lorsque nécessaire.",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIL,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",3,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",5,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",4,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,Non renseigné,Formation & support,3,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,3,Non renseigné,Si vous aviez trois choses à améliorer ce serait,"poste de travail (besoin de linux !!! problématiques réseaux en VPN)
intégration de l'IA sur mon outil de dev
",Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
